bugId,severity,classification,currentVersion,page,viewport,browser,steps,expected,actual,rootCause,fix,test,commit,onlineVerification,status
WEB-P0-001,P0,SOURCE_ROOT_CAUSE_CONFIRMED,v2.2.0-alpha3.1,All,All,All,"Open deployed index and inspect source/runtime","Valid production HTML and JavaScript","Published main contained unresolved merge markers across 26 files","A conflicted merge commit was pushed and Pages published it without a source-integrity gate","Recovered the clean v2.2.0-alpha3 tree and removed every merge marker","git diff --check; conflict-marker scan; CI; Pages; Edge runtime","24fbb3b","Root 200; zero conflict markers; three clean Edge loads; Pages run 29673436241","FIXED"
WEB-P1-002,P1,REPRODUCED_CURRENT,v2.2.0-alpha3.1,Home,All,Edge/Chromium,"Open composer while agent plan has hidden attribute","Hidden execution area remains absent","CSS display:grid overrode native hidden behavior","Component display rule had higher practical effect than the hidden attribute","Added global [hidden]{display:none!important}","Playwright hidden-state assertion; CDP runtime 11/11","0c9b518","Edge computed display is none; production console clean","FIXED"
WEB-P1-003,P1,SOURCE_ROOT_CAUSE_CONFIRMED,v2.2.0-alpha3.1,Home,All,Edge/Chromium,"Submit different records consecutively and reload","Each acknowledged record is durable exactly once","Success could be rendered before the IndexedDB replacement completed","Persistence path did not expose a single awaited durable transaction","Added persistRecordsDurably and rollback on failure","Playwright durable capture; IndexedDB count; reload; CI","0c9b518","Production saved two consecutive records; memory=2; IndexedDB=2; reload=2","FIXED"
WEB-P1-004,P1,REPRODUCED_CURRENT,v2.2.0-alpha3.1,Home,All,Edge/Chromium,"Double-click send then immediately enter a different draft","Same submission is deduplicated while a new draft remains actionable","Debounce and success-state cleanup could suppress or clear a different new draft","Deduplication keyed timing but not the submitted text and success state was stale","Keyed duplicate protection by text and reset done state when a new draft is entered","Playwright double-click; CDP experience 30/30; production capture","0c9b518","Production double-click produced one record and the next distinct record saved immediately","FIXED"
WEB-P1-005,P1,SOURCE_ROOT_CAUSE_CONFIRMED,v2.2.0-alpha3.1,CI,N/A,GitHub Actions,"Run legacy regression after PWA checks expand to 9","Passing child test remains passing in aggregate","PWA child passed 9/9 but aggregate expected literal 8/8 and failed","Aggregate contract was not updated with the child-test count","Aligned aggregate expectation to 9/9","Legacy 66/66; integrity 690/690; GitHub CI run 29673436595","b4f52f4","GitHub CI completed success","FIXED"
WEB-P2-006,P2,REPRODUCED_CURRENT,v2.2.0-alpha3.1,Document head,All,All,"Inspect production metadata","A concise page description exists","No meta description was published","Metadata was absent from the static document head","Added truthful product description","PWA metadata 9/9; source inspection","0c9b518","Production root contains meta description","FIXED"
WEB-P2-007,P2,REPRODUCED_CURRENT,v2.2.0-alpha3.1,Document head,All,All,"Inspect social metadata","Basic Open Graph metadata exists","Open Graph title description URL and type were absent","Metadata was absent from the static document head","Added truthful Open Graph fields and Twitter summary card","PWA metadata 9/9; source inspection","0c9b518","Production root contains og:title og:description og:url","FIXED"
WEB-P2-008,P2,REPRODUCED_CURRENT,v2.2.0-alpha3.1,Document head,All,All,"Inspect install metadata","Apple touch icon link exists","No apple-touch-icon link was published","Only a generic favicon was declared","Added a local data-URL apple touch icon","PWA metadata 9/9; source inspection","0c9b518","Production root contains apple-touch-icon","FIXED"
TRAE-P1-009,P1,FIXED_ALREADY,v2.2.0-alpha3.1,Release notes,All,Edge,"Open and close release dialog then interact with page","Dialog only intercepts input while visible","TRAE reported pointer-event blocking; current source gates pointer events by show state","Finding belongs to an earlier or isolated build","No additional product change required","Three production Edge loads; runtime interaction; CSS inspection","24fbb3b","Release overlay is not an input blocker in current production","CLOSED_NOT_CURRENT"
TRAE-P1-010,P1,STALE_ONLINE_FINDING,v2.2.0-alpha3.1,Document source,All,All,"Search production HTML for @vite/client","Static Pages output contains no development client","TRAE reported a production Vite client reference","Finding did not match the recovered current tree","No change required","Direct production HTML scan","24fbb3b","@vite/client absent from production","CLOSED_STALE"
TRAE-P1-011,P1,NOT_REPRODUCIBLE,v2.2.0-alpha3.1,Theme,All,Edge/Chromium,"Exercise startup and themes while collecting page errors","No getThemeColors TypeError","No current symbol or runtime exception found","No current-source root cause exists","No speculative change","CDP 7/7; Playwright 5/5; three production Edge loads","24fbb3b","Zero production page errors on three clean loads","CLOSED_NOT_REPRODUCIBLE"
TRAE-P2-012,P2,NEEDS_MORE_EVIDENCE,v2.2.0-alpha3.1,Fonts,All,Edge,"Load from varied networks including restricted regions","Readable local fallback when Google Fonts is unavailable","Google Fonts remains an external optional request; universal mainland availability is not proven","Legacy typography still requests Google Fonts asynchronously","Accepted for this alpha because system-font fallback preserves function and layout; future release should self-host or remove","Direct font request 200; 14-view responsive matrix; offline app","b4f52f4","No functional or layout failure; residual network availability risk recorded","ACCEPTED_P2_RISK"
TRAE-P1-013,P1,FIXED_ALREADY,v2.2.0-alpha3.1,Runtime,All,Edge/Chromium,"Open app and exercise capture search calendar migration and offline","No unhandled error or rejected promise","Broken conflict deployment previously produced runtime risk","Committed conflict markers corrupted production JavaScript","Recovered clean source and added real browser gates","Playwright 5/5; CDP 7/7; production Edge","24fbb3b","Three clean production loads; core flow produces zero page errors","FIXED"
TRAE-P1-014,P1,FIXED_ALREADY,v2.2.0-alpha3.1,PWA,14 viewports,Edge/Chromium,"Install Service Worker then disconnect and reload","Current cache installs and application restarts offline","TRAE requested verification of offline and icon state","Current implementation needed production proof rather than speculative edits","Added apple-touch metadata and verified current cache","PWA 9/9; Playwright SW; CDP offline 3/3; production offline","0c9b518","Cache shike-v220alpha31-v64 installed; index and clipboard cached; offline reload passed","FIXED"
TRAE-P2-015,P2,NOT_REPRODUCIBLE,v2.2.0-alpha3.1,Network,1366x768,Edge,"Switch a validated context offline and observe intentionally aborted requests","Cached product remains usable; external font may fail harmlessly","One mixed online/offline audit recorded a transient 503 and aborted font request","The same error collector spanned an intentional network-disconnect transition","Separated pure-online and offline tests and repeated online three times","Three pure-online loads; direct asset 200; cache match; offline reload","b4f52f4","Pure-online errors=0 and bad responses=0 on 3/3 runs","CLOSED_TEST_ENVIRONMENT_ONLY"
TRAE-P2-016,P2,FIXED_ALREADY,v2.2.0-alpha3.1,Scope,All,All,"Inspect navigation routes Service Worker and public claims","Only supported product surfaces are public","TRAE asked for RSS and Watch Center truth","Legacy or experimental surfaces could be mistaken for current scope","Watch Center removed by contract; RSS is not an active product promise","Watch removal contract 29/29; navigation contract 34/34","24fbb3b","Four primary nav items; no Watch route or precache entry; no public RSS claim","CLOSED_SCOPE_REMOVE_HIDE"
WEB-P1-017,P1,SOURCE_ROOT_CAUSE_CONFIRMED,v2.2.0-alpha3.1,CI,N/A,GitHub Actions Chromium,"Run all required CDP groups in the former shared-browser aggregate","Every browser group is isolated and deterministic","A documentation-only commit intermittently failed Browser E2E after the same product tree had passed","Five stateful CDP groups shared one browser profile and debug session; offline storage and multi-tab state could leak between groups","Changed CI to the seven-group runner with an independent browser profile and CDP port per group; added Linux browser path and no-sandbox support","Local CDP 7/7; CI gate 5/5; integrity 690/690; GitHub CI","66df442","GitHub CI run 29674186028 succeeded; Pages run 29674185636 succeeded","FIXED"
